rank,source_name,source_family,priority_tier,region_or_country,access_type,refresh_cadence,output_formats,primary_use,notes,url
1,UNHCR Egypt data portal,humanitarian,tier1,Egypt,html/json,weekly,json;csv,"Registered refugee baseline, Sudan arrivals, and Egypt backtest anchoring.",Primary hard-baseline source for Egypt pilot and district prioritization.,https://data.unhcr.org/en/country/egy
2,IOM DTM Sudan,humanitarian,tier1,Sudan/Regional,html/pdf,weekly,json;csv,Displacement tracking and spillover context for Egypt and regional movement analysis.,Use alongside UNHCR for event windows and cross-border movement context.,https://dtm.iom.int/sudan
3,UNHCR Lebanon reporting hub,humanitarian,tier1,Lebanon,html/pdf,weekly,json;csv,Flash updates and return/movement reporting for the Lebanon/Syria corridor.,Primary hard-baseline source for Lebanon movement overlays.,https://data.unhcr.org/en/country/lbn
4,ACAPS Lebanon,humanitarian,tier1,Lebanon,html,weekly,json;csv,"Conflict, displacement, and humanitarian context for interpreting Lebanon anomalies.",Narrative baseline that complements UNHCR flash updates.,https://www.acaps.org/en/countries/lebanon
5,OCHA OPT Gaza updates,humanitarian,tier1,Gaza/OPT,html,biweekly,json;csv,Market-collapse and humanitarian deterioration timeline for Gaza baseline analysis.,Verified on 2026-03-26. Latest report published 2026-03-19 covering the period up to late March. Highlights include the Feb 28 crossing closures and March 14 sandstorm impact.,https://www.ochaopt.org/reports/situation-reports
6,IPC Gaza snapshot,humanitarian,tier1,Gaza/OPT,pdf,periodic,json;csv,Food insecurity severity and projection windows for Gaza backtesting.,Verified on 2026-03-26. Use issue 142 archive for accessibility. Latest special snapshot published 2025-12-19; validity extends to April 2026.,https://www.ipcinfo.org/ipcinfo-website/countries-in-focus-archive/issue-142/en/
7,IPC Lebanon analysis,humanitarian,tier1,Lebanon,html,periodic,json;csv,District-level stress context for Lebanon food-market interpretation.,Verified on 2026-03-26. Latest release 2025-12-23; validity extends to July 2026.,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/
8,WFP Retail and Markets factsheet,market,tier1,Lebanon,pdf,periodic,json;csv,Retail and market-functionality context for Lebanon and confound handling.,Verified on 2026-03-26. Use the ReliefWeb aggregator for Lebanon market monitors. March 2026 report (2026-03-25) highlights Iran-crisis price shocks.,https://reliefweb.int/updates?view=reports&search=Lebanon+Market+Monitor
9,UN Comtrade API portal,trade,tier1,Global,html/api,monthly,json;csv,"Import/export trendlines for bakery inputs, sweets, nuts, dates, and savory snacks.",Best macro source for import-shift corroboration. Verified API availability on 2026-03-25.,https://comtradeplus.un.org/DataAvailability
10,USDA FAS Saudi Retail Foods Annual,market,tier1,Saudi Arabia,html/pdf,annual,json;csv,"Saudi retail structure, chain mix, and snack-category growth context.",Verified on 2026-03-26. Latest annual report published 2025-09-24; remains current for 2026 baseline.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Riyadh_Saudi+Arabia_SA2025-0015
11,Google Places API,place,tier1,Regional,api,weekly,json;csv,"Compliant place discovery and metadata retrieval for bakeries, groceries, cafés, and sweets shops.",Core structured place source; enforce quotas and field restrictions.,https://developers.google.com/maps/documentation/places/web-service
12,OpenStreetMap Overpass,place,tier1,Regional,api,weekly,json;csv,"POI extraction for bakeries, groceries, cafés, confectionery shops, and supermarkets.",Use to complement Google Places and fill in tagged local coverage.,https://wiki.openstreetmap.org/wiki/Overpass_API/Overpass_QL
13,Google Maps billing guidance,place,tier2,Regional,html,as needed,json;csv,"Quota, budget, and field-mask controls for compliant Google Places usage.",Operational safeguard to keep API use controlled and auditable.,https://developers.google.com/maps/billing-and-pricing/manage-costs
14,Agthia Abu Auf IR releases,investor_relations,tier2,Egypt/UAE,html/pdf,quarterly,json;csv,Premium-snack formalization and store-expansion proxy for Egypt.,Business proxy only; never direct demographic proof.,https://www.agthia.com/news/agthia-group-consolidates-additional-10-stake-in-egyptian-healthy-snacks-and-coffee-company-abu-auf-group/
15,WFP Lebanon food systems publication,market,tier2,Lebanon,html,periodic,json;csv,Food-system resilience context and institutional market framing.,"Useful for controls and policy framing, not direct event detection.",https://www.wfp.org/publications/strengthening-government-institutions-inclusive-food-systems-transformation-lebanon
16,UNSD API catalogue,trade,tier2,Global,html,as needed,json;csv,Discovery path for official UN statistical APIs beyond the core Comtrade endpoint.,Reference source for future API expansion.,https://unstats.un.org/unsd/api/
17,Overpass Turbo,place,tier2,Regional,web,as needed,json;csv,Analyst query prototyping and export for Overpass-based collection.,Use for analyst iteration before automating query packs.,https://overpass-turbo.eu/
18,Deliveroo UAE trend releases,consumer_trends,tier2,UAE,html,occasional,json;csv,Directional trend signal for UAE premiumization and mainstreaming.,Soft evidence only; cap at supporting role in migration analysis.,https://deliveroo.ae/more/news-articles/11-dishes-from-uae-restaurants-make-it-to-deliveroo-s-top-100-trending-dishes-of-2024
19,Spinneys UAE trends,consumer_trends,tier2,UAE,html,occasional,json;csv,"Retail narrative context for premiumization, flavor drift, and merchandising changes.","Use only as weak corroboration, never as standalone proof.",https://www.spinneys.com/en-ae/lifestyle/top-trends-2025/
20,Google Trends,trends,tier2,Regional,web,weekly,json;csv,Relative interest shifts for food terms by geography and period.,Weak signal; use only with stronger place or baseline evidence.,https://trends.google.com/explore
21,FAO FPMA Food Price Monitoring and Analysis,macro_price,tier1,Global,html/api,monthly,json;csv,Official and semi-official food-price context for separating local assortment signals from broad inflation or commodity shocks.,"High-value macro confound source for Egypt, Lebanon, Gaza/OPT, Saudi Arabia, and regional spillover monitoring.",https://www.fao.org/giews/food-prices/en/
22,Saudi GASTAT Consumer Price Index,macro_price,tier1,Saudi Arabia,html,monthly,json;csv,Official Saudi inflation baseline for controlling channel and assortment shifts against broader consumer-price movements.,Use as a hard macro confound source before elevating Saudi retail-proxy signals.,https://stats.gov.sa/en/w/cpi-1
23,Lebanon CAS Consumer Price Index,macro_price,tier1,Lebanon,html,monthly,json;csv,"Official Lebanon CPI context for distinguishing market stress, inflation, and FX-driven effects from local anomaly candidates.",Primary official macro-price control for Lebanon analysis.,https://www.beta.cas.gov.lb/economic-statistics/cpi/
24,HDX Humanitarian API,humanitarian_feed,tier1,Global,html/api,weekly,json;csv,Automation-friendly humanitarian feed for rapid refresh of standardized indicators across crises and countries.,Use as an update-discovery and collection-refresh layer rather than a sole decision source.,https://data.humdata.org/hapi
25,HDX Signals,humanitarian_feed,tier1,Global,html,weekly,json;csv,"Change-detection feed for spotting significant shifts in humanitarian datasets, including food prices and displacement-related indicators.",Use to reduce source drift and highlight what changed since the last collection cycle.,https://data.humdata.org/signals
26,UNHCR Egypt Sudan Emergency Update,humanitarian_feed,tier1,Egypt/Sudan,html/pdf,weekly,json;csv,Focused Egypt-Sudan emergency update stream for faster displacement and arrivals refresh than the broader country portal alone.,Use alongside the UNHCR Egypt portal to tighten recency on Sudan-linked movement baselines.,https://data.unhcr.org/en/search?direction=desc&geo_id=1&page=1&sector=0&sector_json=%7B%220%22%3A+%220%22%7D&sort=publishDate&sv_id=0&type%5B0%5D=document
27,WFP Global Market Monitor,market_monitor,tier1,Global,html/api,biweekly,json;csv,Cross-country and subnational market-monitor layer for price and availability context between humanitarian baselines and neighborhood market observations.,Use as the current market-monitor feed for price drift and corroboration before relying on local place or retail-proxy observations.,https://data.humdata.org/dataset/global-market-monitor
28,UN Comtrade TradeFlow,trade,tier1,Global,html/api,monthly,json;csv,"Global merchandise trade backbone for monitoring food, commodity, and supply-chain flows that can explain regional assortment or pricing shifts.",Prefer deterministic CSV or API pulls over site crawling; use as the strongest multilateral trade baseline across corridor countries.,https://comtradeplus.un.org/DataAvailability
29,UNCTAD Maritime Transport Insights,market_monitor,tier1,Global,html/pdf,periodic,json;csv,"Maritime transport and port-profile context for identifying route stress, shipping disruption, and corridor pressure before it shows up in local retail signals.",Keep collection narrow and pinned to insight pages or profile PDFs rather than broad crawling.,https://unctadstat.unctad.org/insights/theme/246
30,Suez Canal Authority Navigation News,market_monitor,tier1,Regional,html/pdf,periodic,json;csv,"Chokepoint and route-stress signal for Red Sea and Eastern Mediterranean shipping conditions that can affect Israel-, Egypt-, and Gulf-facing supply chains.","Use pinned news or navigation-report URLs rather than broad site crawling; useful as a route-pressure indicator, not a direct market-price source.",https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/default.aspx
31,Israel CBS Main Price Indices,macro_price,tier1,Israel,html/api,monthly,json;csv,Official Israel CPI and related price-index baseline for separating food-market anomalies from broader inflation or seasonal price movements.,Verified on 2026-03-26. Latest CPI (Feb 2026) published 2026-03-15.,https://www.cbs.gov.il/en/Pages/Main%20Price%20Indices.aspx
32,Israel CBS Exports and Imports Monthly Files,trade,tier1,Israel,html/xls,monthly,json;csv,"Official Israel import and export flows by commodity and country for explaining food supply stress, corridor shifts, and exposure to regional trade disruption.",Verified on 2026-03-26. Latest Trade in Goods (Feb 2026) published 2026-03-23.,https://www.cbs.gov.il/en/Pages/importAndExport.aspx
33,Ashdod Port Financial and Operating Updates,market_monitor,tier1,Israel,html/pdf,quarterly,json;csv,"Port-activity and throughput signal for one of Israel's key maritime gateways, useful for monitoring resilience, congestion, and cargo stress.",Verified on 2026-03-26. Feb 2026 traffic (134,616 TEU) reported in March 2026; annual 2025 summary released late March.,https://www.ashdodport.co.il/about/financial-information/Pages/default.aspx
34,Israel Airports Authority Monthly Report,market_monitor,tier1,Israel,html/pdf,monthly,json;csv,Air-freight and cargo-throughput proxy for Israel when maritime routes are disrupted or rerouted.,Verified on 2026-03-26. Feb 2026 monthly report published 2026-03-17.,https://www.iaa.gov.il/about/aeronautical-information/annualreport/
35,Haifa Port traffic and financial reports,market_monitor,tier1,Israel,html/pdf,monthly,json;csv,Port-activity and throughput signal for Israel's largest maritime gateway.,Verified on 2026-03-26. Feb 2026 monthly report (127,062 TEU) published in March 2026.,https://www.haifaport.co.il/en/
36,Israel FTA trade policy and export updates,trade,tier1,Israel,html,periodic,json;csv,Official trade policy and export promotion updates for Israel.,Verified on 2026-03-26. Costa Rica FTA active 2026; U.S.-Israel Ag agreement renewed through Dec 2026.,https://www.gov.il/en/departments/foreign_trade_administration
37,Bank of Israel statistical bulletin and economic activity,macro_price,tier1,Israel,html/api,monthly,json;csv,Official economic activity and financial statistical baseline for Israel.,Verified on 2026-03-26. Statistical Bulletin for 2025 published 2026-03-16; Economic Index for Feb published 2026-03-18.,https://www.boi.org.il/en/statistics/
