sprint_id,status,priority,lane,owner,source_id,source_name,source_family,priority_tier,region_or_country,best_current_page,latest_visible_date,latest_period_covered,recency_status,evidence_link,last_checked_utc,next_action,notes
SV-001,verified,medium,baseline_refresh,source_monitor,seed-01,UNHCR Egypt data portal,humanitarian,tier1,Egypt,https://data.unhcr.org/en/country/egy,2026-03-19,2026-03-19,current,https://data.unhcr.org/en/country/egy,2026-03-26T10:00:00Z,Refresh after the next official dashboard or factsheet release,Verified on 2026-03-26. Sudanese registered population ~1.1M; new arrivals update as of March 19.
SV-002,verified,medium,baseline_refresh,source_monitor,seed-02,IOM DTM Sudan,humanitarian,tier1,Sudan/Regional,https://dtm.iom.int/sudan,2026-03-19,2026-03-19,current,https://dtm.iom.int/sudan,2026-03-26T10:00:00Z,Track the next Mobility Update or Flash Alert.,Verified on 2026-03-26. Latest Mobility Update (March 19) shows ~15M total displacement.
SV-003,verified,high,baseline_refresh,source_monitor,seed-03,UNHCR Lebanon reporting hub,humanitarian,tier1,Lebanon,https://data.unhcr.org/en/country/lbn,2026-03-16,2026-03-09/2026-03-15,due_now,https://data.unhcr.org/en/documents/details/121604,2026-03-26T05:44:46Z,Track the UNHCR Lebanon country page and promote the next flash update detail page when it publishes.,Primary hard-baseline source for Lebanon movement overlays.
SV-004,verified,high,baseline_refresh,source_monitor,seed-04,ACAPS Lebanon,humanitarian,tier1,Lebanon,https://www.acaps.org/en/countries/lebanon,2026-03-11,2026-03-11,overdue,https://www.acaps.org/en/countries/lebanon,2026-03-26T05:44:48Z,Watch the ACAPS Lebanon country page and archive index for the next dated update or crisis note.,Narrative baseline that complements UNHCR flash updates.
SV-006,verified,medium,baseline_refresh,source_monitor,seed-06,IPC Gaza snapshot,humanitarian,tier1,Gaza/OPT,https://www.ipcinfo.org/ipcinfo-website/countries-in-focus-archive/issue-142/en/,2025-12-19,2025-10/2026-04,manual_review,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Gaza_Strip_Acute_Food_Insecurity_Malnutrition_Oct2025_Apr2026_Special_Snapshot.pdf,2026-03-26T00:07:31Z,Use the archive page and pinned PDF as the fetch target unless the current IPC page becomes directly collectible again.,Pair with OCHA and any observable market proxy signals.
SV-007,verified,medium,baseline_refresh,source_monitor,seed-07,IPC Lebanon analysis,humanitarian,tier1,Lebanon,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/,2025-12-23,2025-11/2026-07,manual_review,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/,2026-03-25T19:17:52Z,Watch the IPC Lebanon country-analysis page for the next release date and validity window update.,Useful as a confound control for broad market stress.
SV-008,verified,medium,proxy_refresh,proxy_accountant,seed-08,WFP Retail and Markets factsheet,market,tier1,Lebanon,https://www.wfp.org/publications-WFP-Lebanon-Programme-Factsheets-2025,2025-10-06,2025-09,manual_review,https://docs.wfp.org/api/documents/WFP-0000169349/download/,2026-03-26T05:44:49Z,Monitor the current WFP Lebanon programme factsheet page and update the pinned document URL when a newer release appears.,"Support source, not standalone detection evidence."
SV-009,verified,medium,baseline_refresh,trade_monitor,seed-09,UN Comtrade API portal,trade,tier1,Global,https://comtradeplus.un.org/DataAvailability,2026-03-25,,current,https://comtradeplus.un.org/api/DataAvailability/getComtradeTrend,2026-03-26T05:44:50Z,Track the Comtrade Plus data-availability API and add file-level publication metadata if a stable public endpoint is exposed.,Best macro source for import-shift corroboration.
SV-010,verified,medium,proxy_refresh,proxy_accountant,seed-10,USDA FAS Saudi Retail Foods Annual,market,tier1,Saudi Arabia,https://www.fas.usda.gov/data/saudi-arabia-retail-foods-annual,2025-09-24,,current,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Riyadh_Saudi+Arabia_SA2025-0015,2026-03-26T05:44:56Z,Extract the covered year or report title from the PDF text so the annual market baseline carries a structured period marker.,Anchor source for Saudi channel and assortment planning.
SV-021,verified,medium,macro_price,macro_price_monitor,seed-21,FAO FPMA Food Price Monitoring and Analysis,macro_price,tier1,Global,https://www.fao.org/giews/food-prices/en/,2026-03-12,2026-02,current,https://www.fao.org/markets-and-trade/do-not-touch/all-widgets/food-price-monitoring-and-analysis-%28fpma%29-bulletin--2--12-march-2026---monthly-report-on-food-price-trends/en,2026-03-25T10:35:00Z,Refresh after the next monthly FPMA bulletin posts,Exact-date macro confound verification landed in recent_accounting.csv.
SV-022,verified,high,macro_price,macro_price_monitor,seed-22,Saudi GASTAT Consumer Price Index,macro_price,tier1,Saudi Arabia,https://stats.gov.sa/en/w/cpi-1,2026-01-15,2025-12,overdue,https://stats.gov.sa/en/w/cpi-1,2026-03-25T09:58:17Z,Check for the next monthly CPI release on the official page,Exact-date macro confound verification landed in recent_accounting.csv.
SV-023,verified,high,macro_price,macro_price_monitor,seed-23,Lebanon CAS Consumer Price Index,macro_price,tier1,Lebanon,https://www.beta.cas.gov.lb/economic-statistics/cpi/,2026-01-24,2025-11,overdue,https://www.beta.cas.gov.lb/wp-content/uploads/cpi_data.json,2026-03-25T23:59:39Z,Track the CAS CPI dashboard JSON feed and confirm when a month newer than November 2025 appears.,Extract the exact publication date from the linked PDF or XLS release
SV-024,verified,high,humanitarian_feed,humanitarian_feed_monitor,seed-24,HDX Humanitarian API,humanitarian_feed,tier1,Global,https://centre.humdata.org/ufaqs/how-up-to-date-is-the-data-in-hdx-hapi/,2025-09-15,,overdue,https://hdx-hapi.readthedocs.io/en/latest/changelog/,2026-03-25T23:59:40Z,Capture a source-data coverage marker in addition to the changelog date because the public changelog proves active maintenance but not a reporting period,Public evidence of active product operation found; exact page publication date not visible.
SV-025,verified,high,humanitarian_feed,humanitarian_feed_monitor,seed-25,HDX Signals,humanitarian_feed,tier1,Global,https://centre.humdata.org/introducing-hdx-signals/,2025-04-03,2025-02,overdue,https://centre.humdata.org/author/data-science-team/,2026-03-25T23:59:40Z,Use the Signals story page as the coverage source and keep watching for a machine-readable feed or API endpoint.,Active product evidence found
SV-026,verified,medium,humanitarian_feed,humanitarian_feed_monitor,seed-26,UNHCR Egypt Sudan Emergency Update,humanitarian_feed,tier1,Egypt/Sudan,https://data.unhcr.org/en/search?direction=desc&geo_id=1&page=1&sector=0&sector_json=%7B%220%22%3A+%220%22%7D&sort=publishDate&sv_id=0&type%5B0%5D=document,2026-03-23,2026-03-19,current,https://data.unhcr.org/en/documents/details/121681,2026-03-25T23:59:41Z,Keep following the UNHCR document index and promote the newest matching detail page when a later publication appears.,Strong exact-date verification landed in recent_accounting.csv.
SV-027,verified,medium,market_monitor,market_monitor_monitor,seed-27,WFP Global Market Monitor,market_monitor,tier1,Global,https://data.humdata.org/dataset/global-market-monitor,2026-03-24,,current,https://data.humdata.org/api/3/action/package_show?id=global-market-monitor,2026-03-25T23:59:41Z,Review dataset resources for an explicit coverage-period marker after metadata sync.,Extract the dataset-level last updated timestamp from HDX metadata or API output
SV-028,verified,medium,baseline_refresh,trade_monitor,seed-28,UN Comtrade TradeFlow,trade,tier1,Global,https://comtradeplus.un.org/DataAvailability,2026-03-25,,current,https://comtradeplus.un.org/api/DataAvailability/getComtradeTrend,2026-03-25T23:59:41Z,Track the Comtrade Plus data-availability API and add file-level publication metadata if a stable public endpoint is exposed.,Prefer deterministic CSV or API pulls over site crawling; use as the strongest multilateral trade baseline across corridor countries.
SV-029,verified,medium,market_monitor,market_monitor_monitor,seed-29,UNCTAD Maritime Transport Insights,market_monitor,tier1,Global,https://unctadstat.unctad.org/insights/theme/246,2026-01-28,,manual_review,https://unctadstat.unctad.org/insights/theme/246,2026-03-25T23:59:42Z,Monitor the UNCTAD maritime insights theme page and its linked data-centre metadata pages for fresher updates.,Keep collection narrow and pinned to insight pages or profile PDFs rather than broad crawling.
SV-030,verified,medium,market_monitor,market_monitor_monitor,seed-30,Suez Canal Authority Navigation News,market_monitor,tier1,Regional,https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/default.aspx,2026-03-03,,manual_review,https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/Sca_3-3-2026.aspx,2026-03-25T23:59:42Z,Keep following the SCA news index and promote the latest navigation-news detail page on each rerun.,"Use pinned news or navigation-report URLs rather than broad site crawling; useful as a route-pressure indicator, not a direct market-price source."
SV-031,verified,medium,macro_price,macro_price_monitor,seed-31,Israel CBS Main Price Indices,macro_price,tier1,Israel,https://www.cbs.gov.il/en/Pages/Main%20Price%20Indices.aspx,2026-03-15,2026-02,current,https://www.cbs.gov.il/en/mediarelease/Madad/Pages/2026/Consumer-Price-Index-February-2026.aspx,2026-03-25T23:59:44Z,Keep extracting the latest CPI release row from the embedded CBS price-index data list.,CBS Main Price Indices capture parsed on 2026-03-26T12:00:00Z. Latest CPI row: Consumer Price Index
SV-032,verified,medium,baseline_refresh,trade_monitor,seed-32,Israel CBS Exports and Imports Monthly Files,trade,tier1,Israel,https://www.cbs.gov.il/en/Pages/importAndExport.aspx,2026-03-25,2026-01,current,https://www.cbs.gov.il/he/publications/_api/web/GetFolderByServerRelativeUrl('DocLib/impexpfiles')/Files,2026-03-25T23:59:46Z,Keep using the CBS document-library API and watch for the next monthly import and export ZIP pair.,CBS imports and exports verified on 2026-03-26. Latest media release: Foreign Trade in Goods - February 2026; publication date: 2026-03-23; covered period: 2026-02.
SV-033,verified,high,market_monitor,market_monitor_monitor,seed-33,Ashdod Port Financial and Operating Updates,market_monitor,tier1,Israel,https://www.ashdodport.co.il/about/financial-information/Pages/default.aspx,2025-11-23,2025-09,due_now,https://anyflip.com/hvel/gwqa/basic,2026-03-26T00:07:31Z,Follow the official Ashdod financial-information hub and pin the newest linked presentation or report page on each rerun.,Ashdod Port traffic verified on 2026-03-26. Feb 2026 traffic (134
SV-034,verified,medium,market_monitor,market_monitor_monitor,seed-34,Israel Airports Authority Monthly Report,market_monitor,tier1,Israel,https://www.iaa.gov.il/about/aeronautical-information/annualreport/,2026-03-17,2026-02,current,https://www.iaa.gov.il/about/aeronautical-information/annualreport/,2026-03-25T23:59:49Z,Keep discovering the latest monthly report from the IAA archive and use PDF headers as the release timestamp.,IAA monthly archive parsed on 2026-03-26. Latest visible period: Feb 2026; publication date: 2026-03-17.
